,id,text,date,speaker,target,label
13703,no-these-mass-shootings-werent-plot-protect-hillar,Three mass shootings were meant to distract from Hillary Clinton controversies.,2022-06-14,Ted Nugent,0,pants-on-fire
7813,graphic-labeled-top-ten-most-unhealthy-us-cities-d,"The “top ten most unhealthy U.S. cities” are San Francisco; Seattle; Portland, Oregon; San Diego; Honolulu; Washington; Austin, Texas; Irving, Texas; Portland, Maine; and Denver.",2022-02-05,Dan Bongino,0,pants-on-fire
18533,tax-shift-lou-greenwald-sets-truth-o-meter-ablaze-,"Says raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift.""",2022-07-06,Lou Greenwald,0,pants-on-fire
19635,tulsi-gabbard-falsely-claims-us-not-so-different-r,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",2022-03-15,Tulsi Gabbard,0,pants-on-fire
2876,claim-kids-more-likely-have-access-crack-pipes-mas,"""In Joe Biden’s America, your children are more likely to have access to a crack pipe than a mask-free education.""",2022-02-09,Troy Nehls,0,pants-on-fire
16879,ron-desantis-falsely-claims-biden-trying-buy-state,The Civics Secures Democracy Act “would allow the Biden administration to buy off states with $6 billion” if they adopt critical race theory.,2022-06-30,Ron DeSantis,1,false
8013,gus-bilirakis-says-his-flood-insurance-bill-would-,"Under a proposed bill, a $100,000 home’s flood insurance premium would be ""maybe $200 or $300 annually.""",2022-07-09,Gus Bilirakis,1,false
2487,charlie-crist-calls-marco-rubios-2007-tax-swap-pro,"Rubio's tax swap proposal ""would have been a massive tax increase.""",2022-07-17,Charlie Crist,1,false
7555,gop-senate-candidate-hinckley-says-there-no-money-,"""There's no money in Social Security.""",2022-07-06,Barry Hinckley,1,false
17718,sen-stephen-wise-says-everybody-death-row-was-fost,"""Every person on death row was a foster kid.""",2022-07-12,Stephen Wise,1,false
18016,some-democrats-did-and-some-did-not-weigh-madison-,"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”",2022-05-11,Ron Johnson,2,barely-true
15927,rep-doug-holders-texting-while-driving-stat-too-hi,"""Nearly 25 percent of all automobile accidents are caused by texting while driving.""",2022-07-13,Doug Holder,2,barely-true
16878,ron-desantis-exaggerates-outstanding-graduate-stud,"“The student debt that is out there, almost 60% of it is graduate school debt.”",2022-04-29,Ron DeSantis,2,barely-true
11044,mehmet-oz-supports-abortion-limited-cases-wants-ro,Mehmet Oz is “pro-abortion.”,2022-05-04,Dave McCormick,2,barely-true
11905,neo-nazi-and-racial-discrimination-claims-az-gover,"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination.""",2022-04-28,Aaron Lieberman,2,barely-true
2745,chris-smith-elections-bill-two-required-changes,"The election bill ""allows persons to correct an absentee ballot if they did not sign it and requires an extra two hours a day for early voting. Everything else in this bill is discretionary.""",2022-07-17,Christopher L. Smith,3,half-true
6295,fact-checking-joe-biden-inflation-rates-among-uss-,“In every other major industrial country in the world … inflation is higher.”,2022-06-16,Joe Biden,3,half-true
6862,florida-rents-are-high-crist-exaggerates-new-york-,“It costs more to live in many Florida cities than New York City.”,2022-05-04,Charlie Crist,3,half-true
8073,hard-pin-down-growing-cost-unused-border-materials,"$3 million per day in ""your tax dollars"" are being spent to guard ""unused border wall materials.""",2022-05-28,Joni Ernst,3,half-true
6268,fact-checking-gary-peters-ad-james-abortion-stance,"Says “John James opposes abortion, even refusing to make an exception when a woman’s life is at risk” and “wants to make it a felony even in cases of rape and incest.”",2022-07-21,Gary Peters,3,half-true
21288,yes-trump-justices-said-roe-v-wade-was-precedent-c,"“... Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’”",2022-05-02,Don Beyer,4,mostly-true
2559,checking-beasley-votes-armed-kidnapper-and-double-,"Cheri Beasley voted to reverse the conviction of an armed kidnapper, release a double murderer early.",2022-06-14,National Republican Senatorial Committee,4,mostly-true
21218,yes-inflation-40-year-high-and-rates-have-been-cli,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”,2022-04-12,Mike Gallagher,4,mostly-true
6446,fact-checking-warnocks-statement-drop-oil-prices-d,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",2022-04-05,Raphael Warnock,4,mostly-true
20223,virginia-975-abortions-occur-15-weeks-pregnancy-or,“Ninety-two percent of abortions in Virginia take place before 15 weeks.”,2022-07-09,Bob Good,4,mostly-true
21224,yes-its-true-cannabis-reform-supported-wisconsin-i,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",2022-04-11,Melissa Agard,5,true
20346,warrens-argument-millions-cant-afford-their-rx-dru,"""Last year, 36 million Americans didn’t have a prescription filled because they couldn’t afford it.""",2022-12-14,Elizabeth Warren,5,true
20225,virginia-blacks-eight-times-more-likely-whites-be-,"“In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.”",2022-06-16,Levar Stoney,5,true
1595,big-four-meat-packers-are-seeing-record-profits-sp,“The four big meat packers are raking in record profits … ”,2022-06-16,Abigail Spanberger,5,true
425,allan-fung-former-ri-gov-donald-carcieri-has-not-b,"""Governor Carcieri has not been campaigning with me.""",2022-07-12,Allan Fung,5,true
